Group.1	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
AFR	-8054.5169	855.90292	-956.67184	-13544.445	4926.9673	3771.2851	812.396557	-995.90085	-1181.98158	-1144.22429
ASN	14494.305	-6036.1673	4714.5286	-16009.741	5103.6832	4492.8499	1036.56551	-2046.52376	-1127.46504	-1249.9723
CHN	18201.946	10558.105	-1619.620231	-13121.892	6257.718	4450.8678	1118.970433	-2033.12265	-797.63404	-1553.94603
EUR	14634.677	-11959.621	-3110.3896	-11696.802	5096.9267	4264.5863	1074.55081	-1968.98792	-1316.456079	-1089.85971
MIX	9361.664	-6864.8983	-1897.6334	-12779.633	5127.5858	4279.367172	1003.290091	-1866.9774	-1299.79287	-1189.5922
tbd	14422.8905	-6129.2785	-1740.829565	-13242.0725	5167.35225	4563.6462	1106.126795	-1981.936447	-1344.7125595	-1167.08793
